"nid","nombres","apellidos","seudonimos","variantes","genero","fecha_nacimiento","fecha_muerte","ano_nacimiento","ano_muerte","lugar_nacimiento","disciplinas","subdisciplinas","fuentes","enlaces_titulo","enlaces_url","notas"
"8759","Jorge Washington","Ábalos","","","Hombre","20/09/1915","28/09/1979","1915","1979","Buenos Aires","Escritura","Narrativa","Diccionario de autores latinoamericanos. 2001|Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Jorge_Washington_%C3%81balos",""
"8761","Alfredo","Abarca","","","Hombre","","","1941","","Córdoba","Escritura","Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8493","Florencia","Abbate","","","Mujer","24/12/1976","","1976","","Capital Federal","Escritura","Narrativa|Periodismo|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/Florencia_Abbate",""
"9608","Alberto","Abdala","","","Hombre","","","","1997","Argentina","Audiovisual","Dirección cinematográfica","Cine argentino. Diccionario de realizadores contemporáneos. 1987","Cine Nacional|Internet Movie Database (IMDb)","http://www.cinenacional.com/persona/alberto-abdala|http://www.imdb.com/name/nm0008106/",""
"9836","María","Abella","","María Abella de Ramírez","Mujer","28/09/1863","05/08/1926","1863","1926","Uruguay","Escritura","Narrativa|Periodismo","Diccionario biográfico de mujeres argentinas. 1986","Wikipedia en español","https://es.wikipedia.org/wiki/Mar%C3%ADa_Abella",""
"8762","Margarita","Abella Caprile","","","Mujer","05/08/1901","28/10/1960","1901","1960","Capital Federal","Escritura","Narrativa|Periodismo|Poesía","Biografías sintéticas de autores argentinos. 1940|Diccionario biográfico de mujeres argentinas. 1986|Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Margarita_Abella_Caprile",""
"9837","Arminda","Aberastury","","Arminda Aberastury de Pichón Rivière","Mujer","24/09/1910","24/11/1972","1910","1972","Capital Federal","Escritura","No ficción","Diccionario biográfico de mujeres argentinas. 1986","Wikipedia en español","https://es.wikipedia.org/wiki/Arminda_Aberastury",""
"8494","Álvaro","Abós","","","Hombre","20/10/1941","","1941","","Capital Federal","Escritura","No ficción|Narrativa|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8495","Tomás","Abraham","","","Hombre","05/12/1946","","1946","","Rumania","Escritura","No ficción|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/Tom%C3%A1s_Abraham",""
"8496","Luis","Abrego","","","Hombre","","","1966","","Mendoza","Escritura","No ficción","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8497","Cecilia","Absatz","","","Mujer","","","1943","","Capital Federal","Escritura","Narrativa|Periodismo|Traducción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8498","Jorge","Accame","","","Hombre","","","1956","","Capital Federal","Escritura","Dramaturgia|Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"9609","Ángel","Acciaresi","","","Hombre","26/03/1908","","1908","","Capital Federal","Audiovisual","Dirección cinematográfica","Cine argentino. Diccionario de realizadores contemporáneos. 1987","Wikipedia en español|Internet Movie Database (IMDb)|Cine Nacional","https://es.wikipedia.org/wiki/%C3%81ngel_Acciaresi|http://www.imdb.com/name/nm0009599/|http://www.cinenacional.com/persona/angel-acciaresi","{diferencia}{libro=562}{2}{1918}"
