texto,recuento,REVISAR,Artes escénicas: ,Artes escénicas: Coreografía,Artes escénicas: Pantomima,Artes escénicas: Títeres/marionetas,Artes visuales: ,Artes visuales: Arquitectura,Artes visuales: Cerámica,Artes visuales: Dibujo,Artes visuales: Escultura,Artes visuales: Grabado,Artes visuales: Orfebrería,Artes visuales: Pintura,Artes visuales: Tapiz,Artes visuales: Otras artes visuales,Audiovisual: ,Audiovisual: Animación,Audiovisual: Guionista,Audiovisual: Intérprete,Audiovisual: Productor,Audiovisual: Dirección cinematográfica,Audiovisual: Dirección televisiva,Audiovisual: Otras artes audiovisuales,Escritura: ,Escritura: Crónica,Escritura: Historietista,Escritura: Dramaturgia,Escritura: No ficción,Escritura: Narrativa,Escritura: Periodismo,Escritura: Poesía,Escritura: Traducción,Escritura: Otras artes literarias,Fotografía: ,Música: ,Música: Autor de letra,Música: Autor de música,Música: Adaptación,Música: Arreglos
poeta,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
narrador,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ensayista,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
periodista,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dramaturga,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
traductor,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
actor,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autor teatral,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
crítica literaria,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
investigador,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
