"Id. autor","Apellidos","Nombres","Sexo","Año de nacimiento","Año de muerte","Disciplina","Enlaces","Fuentes"
"8759","Ábalos","Jorge Washington","H","1915","1979","Escritura","https://es.wikipedia.org/wiki/Jorge_Washington_%C3%81balos","Diccionario de autores latinoamericanos. 2001; Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"8761","Abarca","Alfredo","H","1941","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G; Breve diccionario biográfico de autores argentinos desde 1940. 1999"
"8493","Abbate","Florencia","M","1976","","Escritura","https://es.wikipedia.org/wiki/Florencia_Abbate","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G; Breve diccionario biográfico de autores argentinos desde 1940. 1999"
"9608","Abdala","Alberto","H","","1997","Audiovisual","http://www.cinenacional.com/persona/alberto-abdala; http://www.imdb.com/name/nm0008106/","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9836","Abella","María","M","1863","1926","Escritura","https://es.wikipedia.org/wiki/Mar%C3%ADa_Abella","Diccionario biográfico de mujeres argentinas. 1986"
"8762","Abella Caprile","Margarita","M","1901","1960","Escritura","https://es.wikipedia.org/wiki/Margarita_Abella_Caprile","Biografías sintéticas de autores argentinos. 1940; Diccionario biográfico de mujeres argentinas. 1986; Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9837","Aberastury","Arminda","M","1910","1972","Escritura","https://es.wikipedia.org/wiki/Arminda_Aberastury","Diccionario biográfico de mujeres argentinas. 1986"
"8494","Abós","Álvaro","H","1941","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G; Breve diccionario biográfico de autores argentinos desde 1940. 1999"
"8495","Abraham","Tomás","H","1946","","Escritura","https://es.wikipedia.org/wiki/Tom%C3%A1s_Abraham","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G; Breve diccionario biográfico de autores argentinos desde 1940. 1999"
"8496","Abrego","Luis","H","1966","","Escritura","","Breve diccionario biográfico de autores argentinos desde 1940. 1999"
