nid,nombres,apellidos,seudonimos,variantes,genero,fecha_nacimiento,fecha_muerte,ano_nacimiento,ano_muerte,lugar_nacimiento,disciplinas,subdisciplinas,fuentes,enlaces_titulo,enlaces_url,notas,obs_tipo,obs_descripcion
8493,Florencia,Abbate,,,Mujer,24/12/1976,,1976,,Capital Federal,Escritura,Poesía|Periodismo|Narrativa|Escritura: Poesía,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999,Wikipedia en español,https://es.wikipedia.org/wiki/Florencia_Abbate,,ADICIONES,subdisciplinas: Escritura: Poesía
,Álvaro,Abós,,Nicolás Olivari,Hombre,,,1943,,Capital Federal,Escritura,Escritura: Narrativa|Escritura: No ficción,,,,,OTROS NACIMIENTOS,1941
8495,Tomás,Abraham,,,Hombre,05/12/1946,,1946,,Rumania,Escritura|DEF: Escritura,Periodismo|No ficción,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999,Wikipedia en español,https://es.wikipedia.org/wiki/Tom%C3%A1s_Abraham,,ADICIONES,disciplinas: DEF: Escritura
,Luis,Abrego,,,Hombre,,,1966,,OBS: Anóm,Escritura,Escritura: Narrativa|Escritura: Periodismo|Escritura: Poesía,,,,,CONFLICTOS,lugar_nacimiento: OBS: Anóm / Mendoza
8497,Cecilia,Absatz,,,Mujer,,,1943,,Capital Federal,Artes audiovisuales|Escritura,Traducción|Escritura: Periodismo|Artes audiovisuales: Guionista|Escritura: Narrativa|Escritura: Traducción|Periodismo|Narrativa|Escritura: No ficción,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: Artes audiovisuales, subdisciplinas: Artes audiovisuales: Guionista|Escritura: Narrativa|Escritura: Traducción|Escritura: No ficción|Escritura: Periodismo"
8498,Jorge,Accame,,,Hombre,,,1956,,Capital Federal,Escritura,Poesía|Escritura: Dramaturgia|Escritura: Narrativa|Dramaturgia|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Dramaturgia|Escritura: Narrativa|Escritura: Poesía
,Julio,Acosta,,,Hombre,,,1952,,OBS: Buenos Al…,OBS: Escritura,Escritura: Narrativa|Escritura: Poesía|Escritura: No ficción,,,,,CONFLICTOS,lugar_nacimiento: OBS: Buenos Al… / Buenos Aires
8500,Martha,Acosta,,,Mujer,,,1943,,Tucumán,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8501,Natividad,Acosta,,,Mujer,,,1963,,Formosa,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8502,Beatriz,Actis,,,Mujer,,,1961,,Santa Fe,Escritura,Escritura: Narrativa|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
8503,Marcelo,Actis,,,Hombre,,,1958,,Córdoba,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8504,César Isidro,Actis Brú,,,Hombre,,,1942,,Buenos Aires,Escritura,Poesía|Escritura: Narrativa|Periodismo|Narrativa|Escritura: Periodismo|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía|Escritura: Periodismo
,Leopoldo Enrique,Acuna,,,Hombre,,,1947,,Buenos Aires,Música|Escritura,Escritura: Narrativa,,,,,NUEVO,sin observaciones
8506,Nilda,Adaro,,,Mujer,,,1946,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
,Titi,Ades,,,?,,,1945,,Capital Federal,Escritura|Artes visuales,Escritura: Poesía,,,,,CONFLICTOS,genero: ? / Mujer
8508,Javier,Adúriz,,,Hombre,,,1948,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8509,Daniel,Aguilar,,,Hombre,,,1948,,Capital Federal,Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Dramaturgia
8510,Gonzalo,Aguilar,,,Hombre,,,1964,,Capital Federal,Escritura,No ficción|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: No ficción
8511,Hernán,Aguilar,,,Hombre,,,1950,,Capital Federal,Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Dramaturgia
