vocabulario,termino
disciplina,Escritura
disciplina,Música
disciplina,Fotografía
disciplina,Artes visuales
disciplina,Artes escénicas
disciplina,Audiovisual
subdisciplina,Nombre
subdisciplina,Coreografía
subdisciplina,Pantomima
subdisciplina,Títeres/marionetas
subdisciplina,Arquitectura
subdisciplina,Cerámica
subdisciplina,Dibujo
subdisciplina,Escultura
subdisciplina,Grabado
subdisciplina,Orfebrería
subdisciplina,Pintura
subdisciplina,Tapiz
subdisciplina,Otras artes visuales
subdisciplina,Animación
subdisciplina,Guionista
subdisciplina,Intérprete
subdisciplina,Productor
subdisciplina,Dirección cinematográfica
subdisciplina,Dirección televisiva
subdisciplina,Otras artes audiovisuales
subdisciplina,Crónica
subdisciplina,Historietista
subdisciplina,Dramaturgia
subdisciplina,No ficción
subdisciplina,Narrativa
subdisciplina,Periodismo
subdisciplina,Poesía
subdisciplina,Traducción
subdisciplina,Otras artes literarias
subdisciplina,Autor de letra
subdisciplina,Autor de música
subdisciplina,Adaptación
subdisciplina,Arreglos
subdisciplina,Nombre
lugar_nacimiento,Alemania
lugar_nacimiento,Argentina
lugar_nacimiento,Buenos Aires
lugar_nacimiento,Capital Federal
lugar_nacimiento,Catamarca
lugar_nacimiento,Chaco
lugar_nacimiento,Chubut
lugar_nacimiento,Córdoba
lugar_nacimiento,Corrientes
lugar_nacimiento,Entre Ríos
lugar_nacimiento,Formosa
lugar_nacimiento,Jujuy
lugar_nacimiento,La Pampa
lugar_nacimiento,La Rioja
lugar_nacimiento,Mendoza
lugar_nacimiento,Misiones
lugar_nacimiento,Neuquén
lugar_nacimiento,Río Negro
lugar_nacimiento,Salta
lugar_nacimiento,San Juan
lugar_nacimiento,San Luis
lugar_nacimiento,Santa Cruz
lugar_nacimiento,Santa Fe
lugar_nacimiento,Santiago del Estero
lugar_nacimiento,Tierra del Fuego
lugar_nacimiento,Tucumán
lugar_nacimiento,Austria
lugar_nacimiento,Bélgica
lugar_nacimiento,Bolivia
lugar_nacimiento,Brasil
lugar_nacimiento,Bulgaria
lugar_nacimiento,Cabo Verde
lugar_nacimiento,Canadá
lugar_nacimiento,Checoslovaquia
lugar_nacimiento,Chile
lugar_nacimiento,Colombia
lugar_nacimiento,Croacia
lugar_nacimiento,Cuba
lugar_nacimiento,Dinamarca
lugar_nacimiento,Ecuador
lugar_nacimiento,Egipto
lugar_nacimiento,Eslovaquia
lugar_nacimiento,España
lugar_nacimiento,Estados Unidos
lugar_nacimiento,Finlandia
lugar_nacimiento,Francia
lugar_nacimiento,Gibraltar
lugar_nacimiento,Grecia
lugar_nacimiento,Holanda
lugar_nacimiento,Hungría
lugar_nacimiento,Indonesia
lugar_nacimiento,Inglaterra
lugar_nacimiento,Israel
lugar_nacimiento,Italia
lugar_nacimiento,Letonia
lugar_nacimiento,Lituania
lugar_nacimiento,Marruecos
lugar_nacimiento,México
lugar_nacimiento,Moldavia
lugar_nacimiento,Namibia
lugar_nacimiento,Paraguay
lugar_nacimiento,Perú
lugar_nacimiento,Polonia
lugar_nacimiento,Portugal
lugar_nacimiento,República Checa
lugar_nacimiento,Rumania
lugar_nacimiento,Rusia
lugar_nacimiento,Senegal
lugar_nacimiento,Suecia
lugar_nacimiento,Suiza
lugar_nacimiento,Turquía
lugar_nacimiento,Ucrania
lugar_nacimiento,Uruguay
lugar_nacimiento,Venezuela
genero,Nombre
genero,Hombre
genero,Mujer
enlaces_titulo,Internet Movie Database (IMDb)
enlaces_titulo,Wikipedia en español
enlaces_titulo,Cine Nacional
enlaces_titulo,Fundación Konex
enlaces_titulo,Festival Internacional de Poesía de Rosario
